Rank,School,Conf.,TotalRevenue,TotalExpenses,TotalAllocated,PercentAllocated
1,Oregon,Pac-12,391769609,120884588,396550,0.001
2,OhioState,BigTen,233871740,215209566,36268,0.0002
3,Texas,Big12,200772813,173648028,0,0
4,Michigan,BigTen,192403168,180841523,250505,0.0013
5,Alabama,SEC,189282549,173141125,15415289,0.0814
6,Georgia,SEC,179295904,138757891,2728482,0.0152
7,Florida,SEC,174950823,139935182,6704760,0.0383
8,TexasA&M,SEC,166736120,159136624,0,0
9,PennState,BigTen,165077390,157908311,0,0
10,LSU,SEC,160433475,155591015,0,0
11,Oklahoma,Big12,159116745,157494527,0,0
12,Auburn,SEC,153703749,135816431,9470,0.0616
13,Wisconsin,BigTen,148198907,149196055,1590,0.1073
14,Kentucky,SEC,146150480,140578623,2776,0
15,Iowa,BigTen,145636544,149161886,650000,0.0045
16,Louisville,ACC,140867112,138830169,5442665,0.0386
17,Tennessee,SEC,140335769,140824626,20,0.0143
18,Washington,Pac-12,137573939,128976495,4360001,0.0317
19,Nebraska,BigTen,133629080,120582125,0,0
20,SouthCarolina,SEC,133011012,133776318,7540836,0.0567
21,MichiganState,BigTen,130636629,148453353,2560894,0.0196
22,Clemson,ACC,129949014,131781294,5926637,0.0456
23,FloridaState,ACC,129481351,155656855,14754421,0.114
24,Arkansas,SEC,123357572,123857351,2377936,0.0193
25,Illinois,BigTen,122566259,121638435,9138773,0.0746
26,Indiana,BigTen,121181042,120289560,2178707,0.018
27,Minnesota,BigTen,119280297,124818508,7952082,0.0667
28,NorthCarolina,ACC,110410009,113022409,9102684,0.0824
29,Virginia,ACC,110283933,111779897,17341018,0.1572
30,Missouri,SEC,110189122,119082669,1015000,0.0092
31,MississippiState,SEC,109973682,103729769,0,0
32,ArizonaState,Pac-12,106989879,117912821,29384209,0.2746
33,Mississippi,SEC,105875209,113008288,7289069,0.0688
34,California,Pac-12,105044582,101829452,30943083,0.2946
35,Rutgers,BigTen,103642415,114203981,28518337,0.2752
36,Kansas,Big12,102707575,102693011,1355669,0.0132
37,Purdue,BigTen,102223618,99012032,0,0
38,VirginiaTech,ACC,99193958,97492220,10926495,0.1102
39,Arizona,Pac-12,97814344,101084625,14377086,0.147
40,UCLA,Pac-12,97674553,119391431,2577213,0.0264
41,Utah,Pac-12,97217204,95185806,12949322,0.1332
42,Colorado,Pac-12,95592704,91182106,11206562,0.1172
43,OklahomaState,Big12,93608058,92501090,85011,0.0009
44,Maryland,BigTen,92286469,92231361,14152281,0.1534
45,TexasTech,Big12,90418548,88327973,40055,0.0004
46,IowaState,Big12,90326274,90285606,1865821,0.0207
47,WestVirginia,Big12,86869104,90208214,3839995,0.0442
48,NorthCarolinaState,ACC,86563197,88722096,6723471,0.0777
49,KansasState,Big12,86441107,79785896,0,0
50,GeorgiaTech,ACC,86435447,96137132,10326933,0.1195
51,Cincinnati,AAC,81705357,74043985,32969634,0.4035
52,Connecticut,AAC,75956210,78760755,45043275,0.593
53,WashingtonState,Pac-12,74741186,77271930,5506393,0.0737
54,OregonState,Pac-12,72448232,77034653,10776072,0.1487
55,CentralFlorida,AAC,68865055,64226899,34018189,0.494
56,Houston,AAC,67382981,66370147,46703753,0.6931
57,AirForce,MWC,65517457,61445937,48047383,0.7334
58,CentralMichigan,MAC,65167264,33641127,55184732,0.8468
59,Memphis,AAC,61241433,61254516,24146160,0.3943
60,SouthFlorida,AAC,59531113,58021081,36342538,0.6105
61,JamesMadison,CAA,58216278,58216278,48243539,0.8287
62,Nevada-LasVegas,MWC,57577488,57503667,28524192,0.4954
63,ColoradoState,MWC,56855714,54994368,30075654,0.529
64,EastCarolina,AAC,56118480,52745339,30460171,0.5428
65,SanDiegoState,MWC,55441399,58258230,28691570,0.5175
66,BoiseState,MWC,51881769,51188405,16115637,0.3106
67,OldDominion,CUSA,49426473,49411842,32603660,0.6596
68,Massachusetts,ATL10,49384129,48879608,39547246,0.8008
69,Delaware,CAA,47945793,47947933,41863972,0.8732
70,FresnoState,MWC,47276450,48106185,24572900,0.5198
71,Hawaii,BigWest,46244423,49033909,21003653,0.4542
72,Wyoming,MWC,44543915,45057916,21314790,0.4785
73,CoastalCarolina,S-Belt,42172270,42172270,36675524,0.8697
74,Charlotte,CUSA,40717393,39010853,27064941,0.6647
75,FloridaAtlantic,CUSA,40113869,37393763,21924705,0.5466
76,NorthTexas,CUSA,40063461,39895956,30305921,0.7564
77,UtahState,MWC,39676192,40198092,23209539,0.585
78,California-Davis,BigWest,39456801,38382425,33494038,0.8489
79,Miami(Ohio),MAC,38814769,37814569,27284124,0.7029
80,Buffalo,MAC,38769015,36849290,31426785,0.8106
81,Nevada,MWC,37855495,39721951,14916201,0.394
82,FloridaInternational,CUSA,37417121,35508185,29617389,0.7915
83,NewMexico,MWC,36789599,38408365,16817548,0.4571
84,TexasState,S-Belt,36397806,35108934,28366930,0.7794
85,ArkansasState,S-Belt,36282680,36282680,15620210,0.4305
86,AlabamaatBirmingham,CUSA,35725431,35441324,23442327,0.6562
87,VirginiaCommonwealth,ATL10,35203918,34507243,22793722,0.6475
88,AppalachianState,S-Belt,34946428,34999267,20008049,0.5725
89,MiddleTennessee,CUSA,34840886,34840886,24412143,0.7007
90,StonyBrook,AMEast,34721695,36640315,30280210,0.8721
91,SanJoseState,MWC,34712549,33650949,24260290,0.6989
92,Toledo,MAC,34343201,34343201,21671744,0.631
93,SacramentoState,BigSky,34265119,32959721,26205259,0.7648
94,CaliforniaPolytechnic,BigWest,34265119,32959721,26205259,0.7648
95,Akron,MAC,34130530,33564968,25282386,0.7408
96,WesternMichigan,MAC,33195174,35166128,22274949,0.671
97,Marshall,CUSA,32399083,32745309,17920240,0.5531
